experiment,task,dataset_type,variant,n_estimators,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
n_estimators_sweep,clf,clf_confounder,n_est=1,1,120,1000,0.27999999999999997,0.132664991614216,0.27999999999999997,0.132664991614216,0.27999999999999997,0.132664991614216,0.773109243697479,0.2898855178262242,0.7990272467113966,0.08838793503996793,0.8992136209508693,0.04530830501243781,14.081291183000001,3.7151068834623198,0.56,0.19595917942265426,0.6799999999999999,0.16,,,,
n_estimators_sweep,clf,clf_confounder,n_est=5,5,120,1000,0.33999999999999997,0.048989794855663585,0.33999999999999997,0.048989794855663585,0.34,0.048989794855663606,0.9445378151260504,0.030345327874399666,0.7934143760671428,0.07413569397822486,0.8474087968641031,0.0640990582596133,19.953078905799998,2.7772252155980564,0.68,0.09797958971132716,0.5800000000000001,0.0748331477354788,,,,
n_estimators_sweep,clf,clf_confounder,n_est=10,10,120,1000,0.33999999999999997,0.13564659966250536,0.33999999999999997,0.13564659966250536,0.33999999999999997,0.13564659966250536,0.86890756302521,0.14453781512605043,0.7764158430127697,0.08082267948820429,0.8574080754154341,0.03110185456459791,26.40825205719998,4.928893388801894,0.68,0.09797958971132716,0.64,0.13564659966250536,,,,
n_estimators_sweep,clf,clf_confounder,n_est=25,25,120,1000,0.34,0.12,0.34,0.12,0.3400000000000001,0.12,0.9058823529411765,0.049401473804030475,0.7944207969602963,0.06708383330427503,0.8515992112161219,0.03659599157852423,24.82145598219997,4.7277286389084585,0.7200000000000001,0.09797958971132716,0.66,0.12000000000000002,,,,
n_estimators_sweep,clf,clf_confounder,n_est=50,50,120,1000,0.38,0.11661903789690602,0.38,0.11661903789690602,0.38,0.11661903789690602,0.9159663865546218,0.05393884549876036,0.7934023519226607,0.0706647955031491,0.844396748671332,0.03894742296694602,27.21875350580001,4.741182618976066,0.6,0.1788854381999832,0.6199999999999999,0.11661903789690597,,,,
n_estimators_sweep,clf,clf_confounder,n_est=100,100,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.8672268907563027,0.09645946119181004,0.7916143616381695,0.07334842750891032,0.8413895101363538,0.03827037973632609,30.823716265200005,2.6853064922714256,0.64,0.14966629547095767,0.62,0.039999999999999994,,,,
n_estimators_sweep,clf,clf_toeplitz,n_est=1,1,100,1000,0.44000000000000006,0.20591260281974003,0.44000000000000006,0.20591260281974003,0.44000000000000006,0.20591260281974005,0.8383838383838385,0.08304971632765441,0.8136077243104152,0.056373522782187185,0.7732041940215952,0.06716014957553405,7.240945325999974,7.0180996000440965,,,,,,,,
n_estimators_sweep,clf,clf_toeplitz,n_est=5,5,100,1000,0.78,0.11661903789690603,0.78,0.11661903789690603,0.78,0.11661903789690603,0.8202020202020203,0.11417269616925085,0.830217877498016,0.04598184208936692,0.7902171560493472,0.05711747615253439,12.121805997000001,5.0963863078987695,,,,,,,,
n_estimators_sweep,clf,clf_toeplitz,n_est=10,10,100,1000,0.82,0.07483314773547885,0.82,0.07483314773547885,0.8200000000000001,0.07483314773547883,0.7616161616161616,0.1116789895845273,0.8358295457278215,0.044847873629932436,0.7960212105908665,0.05808893437000018,15.304267218200039,5.5084391901372864,,,,,,,,
n_estimators_sweep,clf,clf_toeplitz,n_est=25,25,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.785858585858586,0.1343700133197244,0.8436272034244764,0.03956689535032663,0.8010208498665321,0.055363411217650205,21.4530518508001,4.063963208291078,,,,,,,,
n_estimators_sweep,clf,clf_toeplitz,n_est=50,50,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8404251737488877,0.04264696311505041,0.8012324748094173,0.05560578851529955,26.590439589399967,5.281294836102825,,,,,,,,
n_estimators_sweep,clf,clf_toeplitz,n_est=100,100,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396243657263784,0.04299624842946874,0.800628862756415,0.057179487942956596,31.71167466660004,2.6276434206523787,,,,,,,,
n_estimators_sweep,clf,clf_weak_signal,n_est=1,1,100,1000,0.18,0.09797958971132711,0.18,0.09797958971132711,0.18,0.09797958971132711,0.2505050505050505,0.31919191919191914,0.4990503931895246,0.01935901681148803,0.5311073841468473,0.03242811933768661,0.09674130240000522,0.04847228401759152,,,,,,,,
n_estimators_sweep,clf,clf_weak_signal,n_est=5,5,100,1000,0.13999999999999999,0.10198039027185568,0.13999999999999999,0.10198039027185568,0.14,0.1019803902718557,0.5818181818181818,0.22456069869236775,0.5132152812197541,0.027047168006587415,0.5266655074558544,0.038117906316497766,19.977801700400004,9.703134385018467,,,,,,,,
n_estimators_sweep,clf,clf_weak_signal,n_est=10,10,100,1000,0.16,0.13564659966250536,0.16,0.13564659966250536,0.16000000000000003,0.1356465996625054,0.705050505050505,0.16627134014991718,0.5300964869926345,0.019951857793847696,0.5326059066866008,0.04289699248360183,21.61395029260002,10.369230532268588,,,,,,,,
n_estimators_sweep,clf,clf_weak_signal,n_est=25,25,100,1000,0.26,0.1019803902718557,0.26,0.1019803902718557,0.26000000000000006,0.10198039027185571,0.8909090909090909,0.03344029365100373,0.5373326322372206,0.014521128270057564,0.5711587183948487,0.009494495293661115,25.98607141779994,1.4266966443288271,,,,,,,,
n_estimators_sweep,clf,clf_weak_signal,n_est=50,50,100,1000,0.22000000000000003,0.132664991614216,0.22000000000000003,0.132664991614216,0.22000000000000003,0.13266499161421602,0.8242424242424242,0.11313131313131311,0.5373103061076512,0.012069283670228779,0.5445304009411938,0.023669655462340115,27.104912628400008,0.26236464275365023,,,,,,,,
n_estimators_sweep,clf,clf_weak_signal,n_est=100,100,100,1000,0.12000000000000002,0.116619037896906,0.12000000000000002,0.116619037896906,0.12000000000000002,0.11661903789690602,0.7737373737373737,0.10213514876577404,0.5287493239672014,0.019006514476022612,0.5159491172560215,0.013576495835490232,28.015631936599995,0.3961813228507857,,,,,,,,
n_estimators_sweep,reg,reg_confounder,n_est=1,1,120,1000,0.34,0.20591260281974,0.34,0.20591260281974,0.34,0.20591260281974,0.6319327731092437,0.26934837818575635,,,,,6.567928479800048,3.788462225442719,0.64,0.19595917942265426,0.5599999999999999,0.22449944320643647,0.8508011065939778,0.03845016791855348,0.7063708643805643,0.03929531167977127
n_estimators_sweep,reg,reg_confounder,n_est=5,5,120,1000,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.4200000000000001,0.07483314773547882,0.86218487394958,0.17631846184071795,,,,,11.755958757600002,6.719024390028926,0.48,0.09797958971132711,0.54,0.07999999999999999,0.8542095145514198,0.04389194002658973,0.7224632678640907,0.04594315125243175
n_estimators_sweep,reg,reg_confounder,n_est=10,10,120,1000,0.4,0.0894427190999916,0.4,0.0894427190999916,0.4,0.0894427190999916,0.811764705882353,0.18552977639973883,,,,,20.578747860400018,4.231332683432957,0.48,0.09797958971132711,0.6,0.08944271909999157,0.8631653516510813,0.056892426580951,0.7399467124346311,0.05541298605864569
n_estimators_sweep,reg,reg_confounder,n_est=25,25,120,1000,0.44000000000000006,0.04898979485566354,0.44000000000000006,0.04898979485566354,0.44000000000000006,0.04898979485566352,0.7899159663865547,0.19088767548908483,,,,,22.835973818799904,3.513185480080935,0.48,0.09797958971132711,0.5599999999999999,0.04898979485566354,0.8422346880611915,0.07156727005783342,0.7242436111347551,0.07211936470596074
n_estimators_sweep,reg,reg_confounder,n_est=50,50,120,1000,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547883,0.42000000000000004,0.07483314773547882,0.7915966386554623,0.17493529829767068,,,,,25.368381207000038,5.487561866924438,0.44000000000000006,0.14966629547095764,0.58,0.0748331477354788,0.8393677723230016,0.07248498720939298,0.7241189678543172,0.0743652799099076
n_estimators_sweep,reg,reg_confounder,n_est=100,100,120,1000,0.44000000000000006,0.04898979485566354,0.44000000000000006,0.04898979485566354,0.44000000000000006,0.04898979485566352,0.8033613445378153,0.17846808675574166,,,,,35.686293603599914,12.334940699002685,0.39999999999999997,0.12649110640673517,0.5599999999999999,0.04898979485566354,0.8425823141888997,0.07105970365815177,0.725351238140426,0.07277908313978572
n_estimators_sweep,reg,reg_toeplitz,n_est=1,1,100,1000,0.4,0.1414213562373095,0.4,0.1414213562373095,0.4,0.1414213562373095,0.7292929292929292,0.24093820631718096,,,,,5.123068285600039,6.528944758537418,,,,,0.7338037681965498,0.12517874563818213,0.5952975429228824,0.1507480408226385
n_estimators_sweep,reg,reg_toeplitz,n_est=5,5,100,1000,0.8400000000000001,0.04898979485566354,0.8400000000000001,0.04898979485566354,0.8400000000000001,0.048989794855663495,0.795959595959596,0.14809610349988891,,,,,9.871095824399982,5.590540046769666,,,,,0.7632843440015326,0.11808124587544434,0.6690964863111477,0.1559433915897572
n_estimators_sweep,reg,reg_toeplitz,n_est=10,10,100,1000,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.03999999999999995,0.8080808080808082,0.14170244781212266,,,,,13.15095689259997,4.621736986717944,,,,,0.7651484937936803,0.11862521189652679,0.6723347444904626,0.15575286144149222
n_estimators_sweep,reg,reg_toeplitz,n_est=25,25,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.8101010101010102,0.14319228401348968,,,,,15.752694536200034,3.391459369168831,,,,,0.7771057383980242,0.10287985031434836,0.6735269258327954,0.15191688914292398
n_estimators_sweep,reg,reg_toeplitz,n_est=50,50,100,1000,0.9199999999999999,0.039999999999999994,0.9199999999999999,0.039999999999999994,0.9199999999999999,0.039999999999999994,0.7696969696969698,0.10269305072435422,,,,,19.26498536379986,2.2013496372621058,,,,,0.7766270044007598,0.10398734157515797,0.6711826588177339,0.1546096529755557
n_estimators_sweep,reg,reg_toeplitz,n_est=100,100,100,1000,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999995,0.7858585858585859,0.13067443740441398,,,,,27.81406444960003,3.0100569924812532,,,,,0.7774043277418341,0.10488941203840699,0.6745283738931342,0.15306583107275873
n_estimators_sweep,reg,reg_weak_signal,n_est=1,1,100,1000,0.42000000000000004,0.116619037896906,0.42000000000000004,0.116619037896906,0.42000000000000004,0.116619037896906,0.8969696969696969,0.027403353467172802,,,,,6.833770155400089,4.715660302695321,,,,,0.48382665334748126,0.12051283937890743,0.3087644745885021,0.11346390625527498
n_estimators_sweep,reg,reg_weak_signal,n_est=5,5,100,1000,0.52,0.0748331477354788,0.52,0.0748331477354788,0.52,0.07483314773547879,0.8909090909090909,0.025871209040132712,,,,,16.130225141199936,9.961598210556769,,,,,0.5689900641933244,0.17066479131005408,0.3675614203886427,0.1621835888463328
n_estimators_sweep,reg,reg_weak_signal,n_est=10,10,100,1000,0.6199999999999999,0.09797958971132709,0.6199999999999999,0.09797958971132709,0.6199999999999999,0.09797958971132709,0.8868686868686868,0.06589699567798016,,,,,24.49664230139988,9.926619011441673,,,,,0.6133099210825547,0.16361554353203,0.3970960287528536,0.16190069009313374
n_estimators_sweep,reg,reg_weak_signal,n_est=25,25,100,1000,0.7000000000000001,0.0632455532033676,0.7000000000000001,0.0632455532033676,0.7000000000000001,0.06324555320336764,0.8929292929292929,0.06748805288278813,,,,,35.03138576519996,9.088462247430392,,,,,0.7006995508566443,0.04226871165812348,0.4971662205583793,0.03540757093763624
n_estimators_sweep,reg,reg_weak_signal,n_est=50,50,100,1000,0.6799999999999999,0.039999999999999994,0.6799999999999999,0.039999999999999994,0.6799999999999999,0.039999999999999994,0.8303030303030303,0.13840964147846982,,,,,37.64989393040005,6.465179920260147,,,,,0.7075957154886797,0.02494398982478335,0.4995570438708075,0.04086067409712777
n_estimators_sweep,reg,reg_weak_signal,n_est=100,100,100,1000,0.7400000000000001,0.10198039027185572,0.7400000000000001,0.10198039027185572,0.7400000000000001,0.10198039027185574,0.8545454545454545,0.04973144899026738,,,,,39.13267588819999,6.27305553347772,,,,,0.7230886566504668,0.02325339837619582,0.5125035128629535,0.035053458896821994
